,precision,recall,f1-score,support
0,0.9506172839506173,0.9625,0.9565217391304348,80.0
1,0.75,0.6923076923076923,0.7199999999999999,13.0
accuracy,0.9247311827956989,0.9247311827956989,0.9247311827956989,0.9247311827956989
macro avg,0.8503086419753086,0.8274038461538462,0.8382608695652174,93.0
weighted avg,0.9225740076994557,0.9247311827956989,0.9234595605423095,93.0
